frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
131,1772787949.830145,475.2397,466.4670,431.1203,93.9895,567.1065,-55.0302,88.7911,-53.9952,1048.4936,139.4543,593.9382
132,1772787949.966205,470.7325,465.6222,430.9833,93.1677,565.9496,-54.8033,88.8280,-53.8052,1046.8232,141.0781,593.2643
133,1772787950.098288,467.0486,465.1502,430.8515,92.3766,564.8443,-54.5364,88.8666,-53.5726,1045.7913,142.3072,591.9523
134,1772787950.234246,462.7040,464.6683,430.7211,91.6208,563.7999,-54.2267,88.9061,-53.2972,1046.7211,143.9940,591.2957
135,1772787950.370312,458.8536,464.5540,430.5923,90.8641,562.8349,-53.8624,88.9490,-52.9595,1046.9454,145.3670,590.0592
136,1772787950.502264,454.1964,464.5806,430.4775,90.1258,561.9556,-53.4492,88.9895,-52.5819,1041.6705,146.8750,588.9873
137,1772787950.638360,450.2986,464.9157,430.3575,89.3857,561.0795,-52.9456,89.0346,-52.1207,1045.3295,148.6000,587.8110
138,1772787950.770285,447.4128,463.9885,430.2524,88.6967,560.3352,-52.4108,89.0770,-51.6160,1041.7508,149.2844,587.3539
139,1772787950.906347,442.4552,464.4747,430.1490,87.9589,559.6288,-51.7556,89.1229,-50.9916,1044.8370,151.4643,586.3350
140,1772787951.038676,438.7731,465.1420,430.0566,87.3201,558.9826,-51.0456,89.1666,-50.2865,1045.4300,152.7311,585.4306
141,1772787951.174268,435.6878,464.7149,429.9704,86.6357,558.3867,-50.1886,89.2133,-49.4719,1048.4878,154.2848,584.9239
142,1772787951.310298,431.5374,465.2761,429.8914,85.9698,557.8666,-49.2274,89.2591,-48.5105,1047.4392,155.4993,584.1130
143,1772787951.442350,427.4967,466.1482,429.8245,85.3489,557.4035,-48.1093,89.3035,-47.4423,1048.2399,157.3036,583.0431
144,1772787951.578305,424.4647,466.4236,429.7593,84.6812,556.9982,-46.8323,89.3482,-46.1396,1046.6242,157.7181,582.4105
145,1772787951.710203,420.0232,467.2570,429.7074,84.0708,556.6576,-45.3442,89.3927,-44.6952,1046.7331,159.6207,581.4928
146,1772787951.846388,416.7104,468.3241,429.6615,83.4286,556.3547,-43.5799,89.4368,-42.9018,1047.4964,160.7968,580.7142
147,1772787951.978425,413.6369,469.3018,429.6244,82.8355,556.1111,-41.5416,89.4798,-40.8910,1048.0272,161.5014,579.8460
148,1772787952.114291,409.7197,470.3021,429.5955,82.2115,555.9226,-39.0772,89.5223,-38.3889,1047.2895,162.5460,579.0764
149,1772787952.250368,405.9753,470.5425,429.5737,81.5972,555.7820,-36.1487,89.5633,-35.4424,1046.7018,162.4884,578.7848
150,1772787952.382354,402.8863,471.6431,429.5613,80.9918,555.6953,-32.6403,89.6023,-31.8599,1044.3538,163.3287,577.9353
151,1772787952.518331,399.0033,472.4741,429.5567,80.4064,555.6599,-28.3038,89.6399,-27.5112,1046.7829,165.8913,577.6167
152,1772787952.650375,395.8022,473.3168,429.5602,79.8117,555.6750,-23.1197,89.6742,-22.1800,1045.2486,163.8068,577.0008
153,1772787952.786330,392.2652,474.5155,429.5723,79.1929,555.7422,-16.6907,89.7056,-15.6153,1046.9683,161.9909,576.5438
154,1772787952.918144,389.0891,475.4822,429.5913,78.6067,555.8545,-9.1430,89.7301,-7.9403,1044.5682,162.9649,576.0454
