frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
93,1772788237.387935,510.5819,505.7750,431.0277,147.0822,621.1420,-117.7667,89.8797,-114.2351,1048.8504,150.7932,621.2028
94,1772788237.523900,508.7074,504.0892,430.9424,146.1795,621.6204,-100.3645,89.8616,-97.7042,1048.3758,156.6456,622.7477
95,1772788237.656437,506.9897,502.4732,430.8715,145.3354,622.0087,-88.4483,89.8354,-86.3893,1048.7292,162.8963,624.1743
96,1772788237.791820,505.4193,500.0419,430.8049,144.4618,622.3456,-79.8790,89.8014,-78.3666,1053.7928,171.5595,626.2289
97,1772788237.928116,503.5863,497.8877,430.7459,143.5758,622.6263,-73.9475,89.7652,-72.7536,1050.6245,174.1601,627.8992
98,1772788238.059808,502.0510,495.8639,430.6988,142.7283,622.8318,-69.8212,89.7277,-68.7663,1049.8702,176.6264,629.3090
99,1772788238.195785,500.8012,493.4149,430.6596,141.8529,622.9844,-66.7353,89.6873,-65.7006,1050.3314,175.3744,631.0121
100,1772788238.328220,499.0275,490.7775,430.6301,141.0634,623.0667,-64.6021,89.6472,-63.5733,1049.8257,176.1254,632.6529
101,1772788238.465106,497.8033,488.8702,430.6082,140.2214,623.0987,-62.7384,89.6059,-61.8054,1051.4937,176.0600,633.9416
102,1772788238.596026,495.9954,486.7768,430.5930,139.3160,623.0691,-61.3853,89.5638,-60.4491,1047.9810,175.8129,635.2138
103,1772788238.732320,494.8139,482.4487,430.5868,138.3986,622.9733,-60.2188,89.5201,-59.3453,1051.0080,176.4957,637.5421
104,1772788238.867628,493.1126,480.3709,430.5904,137.5187,622.8184,-59.3592,89.4782,-58.4917,1050.9433,176.6415,638.6621
105,1772788238.999784,492.3272,476.8578,430.6021,136.6601,622.5972,-58.6636,89.4362,-57.7955,1050.3329,175.9169,640.3773
106,1772788239.135772,490.9999,473.4919,430.6218,135.7962,622.3254,-58.1041,89.3933,-57.2444,1054.0691,176.2058,642.1757
107,1772788239.267679,489.7520,470.4916,430.6484,134.9623,622.0138,-57.6798,89.3522,-56.7949,1053.2448,175.4066,643.5403
108,1772788239.403828,488.5012,466.8517,430.6832,134.1035,621.6243,-57.3193,89.3108,-56.4198,1051.3976,174.9685,645.0858
109,1772788239.535956,486.9374,464.5347,430.7257,133.2243,621.1795,-57.0256,89.2697,-56.1168,1052.5738,174.9842,646.1335
110,1772788239.671739,485.6874,461.1914,430.7742,132.3739,620.6886,-56.7939,89.2284,-55.8619,1051.7280,174.1917,647.4188
111,1772788239.807735,485.1034,457.2753,430.8315,131.4758,620.1135,-56.6093,89.1887,-55.6570,1051.9778,173.1894,648.9406
112,1772788239.939577,483.8375,453.6126,430.8886,130.6562,619.5361,-56.4677,89.1503,-55.4905,1053.3447,172.9636,650.4829
113,1772788240.075849,482.8542,449.7655,430.9549,129.7842,618.8686,-56.3477,89.1098,-55.3472,1051.8562,171.9881,651.7836
114,1772788240.207589,481.8766,445.8245,431.0228,128.9843,618.2033,-56.2612,89.0731,-55.2366,1053.6916,171.6454,653.3997
115,1772788240.343748,481.8140,441.2357,431.1011,128.0880,617.4256,-56.1922,89.0350,-55.1386,1053.2249,170.2725,654.9369
116,1772788240.475857,480.6421,438.3704,431.1794,127.2352,616.6258,-56.1410,88.9981,-55.0625,1054.3648,170.0353,655.9474
117,1772788240.611816,479.9727,432.9773,431.2635,126.3609,615.7789,-56.1032,88.9615,-54.9995,1053.3783,168.9016,657.7519
118,1772788240.747511,479.9848,428.8778,431.3498,125.4798,614.8351,-56.0772,88.9255,-54.9460,1053.6901,167.9377,659.1112
119,1772788240.879685,479.0742,425.4503,431.4368,124.5922,613.8584,-56.0598,88.8913,-54.9026,1053.3425,166.9042,659.8023
120,1772788241.015613,478.3195,420.8433,431.5307,123.6771,612.8115,-56.0493,88.8564,-54.8664,1051.5988,166.1757,661.1686
121,1772788241.147665,478.0359,416.4584,431.6221,122.8040,611.7255,-56.0441,88.8241,-54.8357,1054.1054,165.0488,662.4106
