frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
65,1772786584.816759,498.6501,488.6543,432.1887,155.8481,613.1409,158.2919,89.6399,159.0544,1047.7986,193.2325,618.4538
66,1772786584.952841,498.1641,491.2508,432.0631,155.0305,614.1050,159.6673,89.6681,160.4392,1048.5976,192.6162,618.6366
67,1772786585.084823,497.7715,493.6552,431.9478,154.2641,615.0113,161.3001,89.6960,162.1343,1047.4196,191.1191,618.5203
68,1772786585.220918,497.6066,496.1483,431.8277,153.4762,615.8824,163.4654,89.7256,164.4093,1047.5362,189.3692,618.6241
69,1772786585.353422,496.6237,498.2786,431.7155,152.7063,616.6963,166.2642,89.7546,167.3262,1047.6907,188.2165,618.5522
70,1772786585.488970,496.1071,500.7693,431.6045,151.8959,617.4702,170.1003,89.7835,171.2291,1043.7362,186.1386,618.1553
71,1772786585.625154,495.5701,503.2162,431.4904,151.0759,618.2344,175.5503,89.8130,176.8739,1048.0337,184.2600,618.4314
72,1772786585.757057,494.9063,505.2438,431.3816,150.2417,618.9473,-177.0119,89.8399,-175.2920,1048.5911,178.6522,618.2947
73,1772786585.893637,494.3705,507.7132,431.2819,149.4323,619.5921,-166.2821,89.8634,-164.0305,1048.7874,175.2624,618.2230
74,1772786586.025720,493.7349,509.3055,431.1924,148.6463,620.1562,-152.4873,89.8791,-149.5040,1049.2556,170.4927,618.1823
75,1772786586.161254,492.5955,510.7650,431.0941,147.7770,620.7416,-133.0662,89.8855,-130.0410,1045.7555,165.0359,618.5726
76,1772786586.293314,491.6445,512.9077,431.0104,146.9223,621.2277,-114.4838,89.8780,-111.2683,1048.7507,160.1203,618.2521
77,1772786586.429442,490.7727,514.1665,430.9307,146.0643,621.6794,-98.4040,89.8581,-95.9882,1048.9686,167.3884,618.5658
78,1772786586.565680,490.2687,516.0291,430.8579,145.1851,622.0704,-86.5487,89.8291,-85.0397,1048.3018,172.3533,618.2524
79,1772786586.697735,489.0319,517.0465,430.7960,144.3479,622.3853,-79.0826,89.7959,-77.3632,1049.0369,177.4728,618.5210
80,1772786586.833573,487.9629,518.3191,430.7372,143.4309,622.6589,-73.2860,89.7601,-72.1115,1049.9694,180.0086,618.3966
81,1772786586.965440,486.9091,519.4976,430.6938,142.6285,622.8552,-69.4655,89.7226,-68.2879,1044.2653,182.6106,618.4079
82,1772786587.101907,485.8656,520.2198,430.6535,141.7512,622.9982,-66.3616,89.6815,-65.4080,1048.7142,183.5521,618.6466
83,1772786587.233418,484.9062,520.9932,430.6249,140.9168,623.0788,-64.2022,89.6416,-63.2949,1050.1080,183.8490,618.6617
84,1772786587.369947,483.8548,521.8707,430.6046,140.0640,623.0985,-62.5959,89.6019,-61.5916,1049.3874,181.8568,618.5337
85,1772786587.505621,482.3141,522.3894,430.5908,139.1484,623.0575,-61.1178,89.5569,-60.2661,1051.9041,184.1918,618.5429
86,1772786587.637962,481.3061,522.7737,430.5870,138.2780,622.9546,-60.0801,89.5149,-59.2257,1046.5037,183.3837,618.5806
87,1772786587.773737,479.5070,523.2528,430.5915,137.4227,622.7934,-59.2586,89.4715,-58.3810,1049.0822,183.0245,618.5136
88,1772786587.905914,478.7275,522.6939,430.6041,136.5357,622.5716,-58.5912,89.4302,-57.7226,1049.1690,182.7605,618.8616
89,1772786588.041933,477.6528,522.6749,430.6253,135.6790,622.2898,-58.0432,89.3881,-57.1821,1049.6387,182.7374,618.8864
90,1772786588.174068,476.3411,522.3140,430.6537,134.8193,621.9451,-57.6051,89.3453,-56.7295,1049.7251,182.1135,618.9848
91,1772786588.309953,475.3568,521.6875,430.6883,133.9708,621.5657,-57.2718,89.3054,-56.3797,1048.6053,181.7155,619.1952
92,1772786588.442173,473.5434,522.0097,430.7315,133.1218,621.1197,-56.9952,89.2644,-56.0822,1046.3446,181.0997,618.8056
93,1772786588.578439,471.7489,521.6294,430.7817,132.2436,620.6088,-56.7670,89.2234,-55.8343,1048.8645,181.2499,618.8383
94,1772786588.714181,470.6836,520.7186,430.8366,131.4026,620.0632,-56.5886,89.1826,-55.6294,1048.5923,180.3821,618.9319
95,1772786588.846297,468.8919,520.4378,430.8974,130.5520,619.4596,-56.4498,89.1449,-55.4712,1049.0459,180.4294,618.7980
96,1772786588.982529,468.0701,519.3772,430.9612,129.6966,618.7943,-56.3374,89.1046,-55.3303,1051.4804,179.6240,618.8492
97,1772786589.114113,466.5800,518.1728,431.0332,128.8536,618.1017,-56.2526,89.0677,-55.2214,1048.5290,179.0926,618.9638
98,1772786589.250311,465.0076,517.2880,431.1093,127.9921,617.3188,-56.1844,89.0297,-55.1293,1045.0541,178.2320,618.7084
99,1772786589.386214,463.4693,516.0905,431.1904,127.0921,616.4974,-56.1345,88.9927,-55.0519,1049.9363,178.3984,618.9230
100,1772786589.518787,462.0527,514.5120,431.2741,126.2463,615.6139,-56.0994,88.9560,-54.9911,1049.3268,177.6390,618.8440
101,1772786589.654545,460.8419,513.3768,431.3610,125.3602,614.7063,-56.0742,88.9204,-54.9396,1050.0753,177.3278,618.8538
102,1772786589.787355,459.5510,511.7423,431.4509,124.4817,613.7100,-56.0579,88.8861,-54.8978,1050.7358,176.5601,618.6884
103,1772786589.922955,458.0417,510.0423,431.5440,123.5589,612.6635,-56.0483,88.8524,-54.8623,1046.5735,175.9373,618.7530
104,1772786590.055724,456.3623,508.0051,431.6379,122.6500,611.5557,-56.0439,88.8193,-54.8322,1048.8583,175.4745,618.6745
105,1772786590.190632,454.9247,505.7959,431.7295,121.7531,610.4355,-56.0426,88.7873,-54.8064,1051.5367,175.4317,619.0590
